PickOrder,DraftPos,DraftScore,MinVal,MaxVal,StdDev,count
"('RB', 'TE', 'WR', 'RB', 'QB', 'WR', 'WR', 'FLEX')",1,0.9367446100948827,0.8782824763520919,0.9868271513631309,0.032532533,662
"('WR', 'WR', 'WR', 'QB', 'TE', 'RB', 'RB', 'FLEX')",2,0.9230847395795028,0.8779610707393475,0.9741693334143191,0.015355241,418
"('TE', 'WR', 'WR', 'QB', 'WR', 'RB', 'RB', 'FLEX')",3,0.9471531200198358,0.8806427129108079,0.9860052447472981,0.027840105227554212,642
"('TE', 'RB', 'WR', 'RB', 'WR', 'WR', 'QB', 'FLEX')",4,0.9324719763390057,0.8935977899245267,0.9738481225059644,0.014907318182953747,416
"('WR', 'WR', 'QB', 'TE', 'RB', 'RB', 'WR', 'FLEX')",5,0.9538822323884744,0.8630681559077654,0.9863192662696041,0.026971054067756354,902
,,,,,,
,,,,,,
,Hist,,,,,
,3,,,,,
,5,,,,,
"('TE', 'RB', 'WR', 'RB', 'WR', 'WR', 'QB', 'FLEX')",4,,,,,
,,,,,,
,,,,,,
,,,,,,
