"Rank","Player","Team","Bye","POS","BB10","RTSports","Underdog","Drafters","AVG"
"1","Justin Jefferson","MIN","13","WR1","1","1","1","1","1.0"
"2","Ja'Marr Chase","CIN","7","WR2","2","3","2","2","2.3"
"3","Christian McCaffrey","SF","9","RB1","3","2","3","3","2.8"
"4","Tyreek Hill","MIA","10","WR3","5","5","4","4","4.5"
"5","Austin Ekeler","LAC","5","RB2","4","4","6","6","5.0"
"6","Travis Kelce","KC","10","TE1","6","6","5","5","5.5"
"7","Bijan Robinson","ATL","11","RB3","9","8","7","8","8.0"
"8","Stefon Diggs","BUF","13","WR4","8","11","8","7","8.5"
"9","CeeDee Lamb","DAL","7","WR5","11","10","11","12","11.0"
"10","Nick Chubb","CLE","5","RB4","13","9","10","13","11.3"
"11","A.J. Brown","PHI","10","WR6","12","16","9","10","11.8"
"12","Saquon Barkley","NYG","13","RB5","10","7","15","17","12.3"
"13","Cooper Kupp","LAR","10","WR7","7","22","14","9","13.0"
"14","Amon-Ra St. Brown","DET","9","WR8","14","18","12","11","13.8"
"15","Garrett Wilson","NYJ","7","WR9","16","14","13","16","14.8"
"16","Tony Pollard","DAL","7","RB6","18","13","16","15","15.5"
"17","Davante Adams","LV","13","WR10","15","19","17","14","16.3"
"18","Patrick Mahomes II","KC","10","QB1","17","15","21","23","19.0"
"19","Jaylen Waddle","MIA","10","WR11","20","24","18","18","20.0"
"20","Derrick Henry","TEN","7","RB7","19","21","20","22","20.5"
"21","Chris Olave","NO","11","WR12","24","23","19","19","21.3"
"22","Josh Jacobs","LV","13","RB8","27","12","25","26","22.5"
"23","Jalen Hurts","PHI","10","QB2","22","20","24","24","22.5"
"24","DeVonta Smith","PHI","10","WR13","25","25","23","21","23.5"
"25","Josh Allen","BUF","13","QB3","23","17","26","29","23.8"
"26","Calvin Ridley","JAC","9","WR14","34","27","22","20","25.8"
"27","Tee Higgins","CIN","7","WR15","26","36","27","25","28.5"
"28","Mark Andrews","BAL","13","TE2","31","30","28","27","29.0"
"29","DK Metcalf","SEA","5","WR16","30","35","29","28","30.5"
"30","Rhamondre Stevenson","NE","11","RB9","29","29","33","35","31.5"
"31","Jahmyr Gibbs","DET","9","RB10","38","31","30","31","32.5"
"32","Lamar Jackson","BAL","13","QB4","36","32","31","33","33.0"
"33","Najee Harris","PIT","6","RB11","28","26","43","42","34.8"
