Player,Team,POS,ADP,FPTS,PosRank,Rank
Anthony McFarland Jr.,PIT,RB,405.5,24.7,115,422.0
Jeff Driskel,ARI,QB,,-1.3,,
Michael Carter,NYJ,RB,267.5,33.8,84,276.0
Sean Clifford,GB,QB,446.0,22.2,66,486.0
Austin Ekeler,LAC,RB,5.0,229.1,2,5.0
Kevin Harris,NE,RB,,20.2,,
Joe Mixon,CIN,RB,37.0,189.6,13,38.0
Jalen Richard,,RB,353.0,,108,400.0
Tyler Davis,GB,TE,,6.7,,
Cleveland Browns,DST,DST,223.0,107.3,18,303.0
Nick Chubb,CLE,RB,11.3,226.4,4,10.0
Phillip Dorsett II,DEN,WR,,11.4,,
Tyrod Taylor,NYG,QB,369.0,24.9,56,420.0
Isaiah McKenzie,IND,WR,337.0,52.4,130,351.0
Owen Wright,BAL,RB,,25.9,,
Tyquan Thornton,NE,WR,261.0,46.3,104,251.0
Quintin Morris,BUF,TE,,11.3,,
Sandro Platzgummer,,RB,359.0,,110,408.0
Ihmir Smith-Marsette,CAR,WR,392.0,9.3,162,443.0
Miles Boykin,PIT,WR,,5.5,,
Marcedes Lewis,CHI,TE,,12.9,,
Dareke Young,SEA,WR,,10.9,,
Los Angeles Chargers,DST,DST,219.0,104.1,16,301.0
D'Andre Swift,PHI,RB,77.5,126.4,27,77.0
Pierre Strong Jr.,CLE,RB,262.7,35.1,79,252.0
Gary Brightwell,NYG,RB,,20.0,,
Ezekiel Elliott,NE,RB,145.5,96.7,49,147.0
Travis Homer,CHI,RB,,18.8,,
CeeDee Lamb,DAL,WR,11.0,185.5,5,9.0
Malik Cunningham,NE,QB,384.0,-1.5,58,435.0
Rashid Shaheed,NO,WR,188.3,72.2,76,183.0
Miami Dolphins,DST,DST,205.0,106.5,11,290.0
Greg Dortch,ARI,WR,284.0,48.4,110,265.0
Brycen Hopkins,LAR,TE,417.0,15.7,79,464.0
Brett Rypien,LAR,QB,,17.2,,
John Bates,WAS,TE,,15.7,,
Tyler Scott,CHI,WR,317.0,14.0,135,363.0
DeVonta Smith,PHI,WR,23.5,143.2,13,24.0
Marvin Mims Jr.,DEN,WR,144.0,84.7,60,144.0
Zack Kuntz,NYJ,TE,293.0,10.7,50,344.0
Tyler Bass,BUF,K,,124.8,,
Case Keenum,HOU,QB,,9.8,,
Darrell Daniels,DET,TE,,4.2,,
Jordan Addison,MIN,WR,79.0,111.3,37,80.0
