"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Mike Vanderjagt (FA)","20","25","80.0","47","0","0","0","0","0","59","59","15","59.0","3.9","0.0%"
"2","Lawrence Tynes (FA)","17","23","73.9","50","0","0","0","0","0","58","60","16","58.0","3.6","0.0%"
"3","Nate Kaeding (FA)","20","25","80.0","53","0","0","0","0","0","54","54","16","54.0","3.4","0.0%"
"4","Adam Vinatieri (FA)","31","33","93.9","48","0","0","0","0","0","48","48","16","52.2","3.3","0.2%"
"5","Ryan Longwell (FA)","24","28","85.7","53","0","0","0","0","0","48","48","16","48.0","3.0","0.0%"
"6","Morten Andersen (FA)","18","22","81.8","48","0","0","0","0","0","45","45","16","45.0","2.8","0.0%"
"7","Rian Lindell (FA)","24","28","85.7","43","0","0","0","0","0","45","45","16","45.0","2.8","0.0%"
"8","Jason Elam (FA)","29","34","85.3","52","0","0","0","0","0","42","42","16","42.0","2.6","0.0%"
"9","Shayne Graham (FA)","27","31","87.1","53","0","0","0","0","0","41","41","16","41.0","2.6","0.0%"
"10","David Akers (FA)","27","32","84.4","51","0","0","0","0","0","41","41","16","41.0","2.6","0.0%"
"11","Jay Feely (FA)","18","23","78.3","47","0","0","0","0","0","40","40","16","40.8","2.6","0.0%"
"12","Josh Brown (FA)","23","25","92.0","54","0","0","0","0","0","40","40","16","40.0","2.5","0.0%"
"13","Jeff Reed (FA)","28","33","84.8","51","0","0","0","0","0","40","40","16","40.0","2.5","0.0%"
"14","John Carney (FA)","22","27","81.5","53","0","0","0","0","0","38","38","16","38.0","2.4","0.0%"
"15","Gary Anderson (FA)","17","22","77.3","45","0","0","0","0","0","37","37","15","37.0","2.5","0.0%"
"16","Kris Brown (FA)","17","24","70.8","50","0","0","0","0","0","34","34","16","34.0","2.1","0.0%"
"17","Doug Brien (FA)","24","29","82.8","53","0","0","0","0","0","33","34","16","33.0","2.1","0.0%"
"18","Steve Christie (FA)","22","28","78.6","53","0","0","0","0","0","33","33","16","33.0","2.1","0.0%"
"19","Jeff Wilkins (FA)","19","24","79.2","53","0","0","0","0","0","32","32","16","31.5","2.0","0.0%"
"20","Sebastian Janikowski (FA)","25","28","89.3","52","0","0","0","0","0","31","31","16","31.0","1.9","20.0%"
"21","Billy Cundiff (FA)","20","26","76.9","49","0","0","0","0","0","31","31","16","31.0","1.9","0.0%"
"22","Matt Stover (FA)","29","32","90.6","50","0","0","0","0","0","30","30","16","30.0","1.9","0.0%"
"23","Jason Hanson (FA)","24","28","85.7","48","0","0","0","0","0","28","28","16","28.0","1.8","0.0%"
"24","Neil Rackers (FA)","22","29","75.9","55","0","0","0","0","0","28","28","16","28.0","1.8","0.0%"
"25","Phil Dawson (FA)","24","29","82.8","50","0","0","0","0","0","28","28","16","28.0","1.8","0.1%"
"26","John Kasay (FA)","19","22","86.4","54","0","0","0","0","0","27","28","14","27.0","1.9","0.0%"
"27","Todd Peterson (FA)","18","22","81.8","51","0","0","0","0","0","23","23","16","23.0","1.4","0.0%"
"28","Josh Scobee (FA)","24","31","77.4","53","0","0","0","0","0","21","21","16","21.0","1.3","0.0%"
"29","Martin Gramatica (FA)","11","19","57.9","53","0","0","0","0","0","21","22","15","21.0","1.4","0.0%"
"30","Paul Edinger (FA)","15","24","62.5","53","0","0","0","0","0","22","22","16","20.0","1.3","0.0%"
"31","Olindo Mare (FA)","12","16","75.0","51","0","0","0","0","0","18","18","11","18.0","1.6","0.0%"
"32","Jeff Chandler (FA)","5","8","62.5","49","0","0","0","0","0","14","14","5","14.0","2.8","0.0%"
"33","John Hall (FA)","8","11","72.7","46","0","0","0","0","0","13","13","8","13.0","1.6","0.0%"
"34","Matt Bryant (FA)","3","4","75.0","47","0","0","0","0","0","12","12","4","12.0","3.0","1.1%"
"35","Jay Taylor (FA)","4","5","80.0","50","0","0","0","0","0","11","11","5","11.0","2.2","0.0%"
"36","Ola Kimrin (FA)","6","10","60.0","41","0","0","0","0","0","6","6","5","6.0","1.2","0.0%"
"37","Aaron Elling (FA)","1","2","50.0","22","0","0","0","0","0","2","2","8","2.0","0.3","0.0%"
"38","Derrick Frost (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.1","0.0","0.0%"
"39","Wade Richey (FA)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"40","David Allen (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"41","Reginald Swinton (FA)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"42","Bill Gramatica (FA)","3","3","100.0","30","0","0","0","0","0","0","1","1","0.0","0.0","0.0%"
"43","Allen Rossum (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"44","B.J. Sams (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"45","J.R. Reed (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"46","Nick Murphy (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"47","Jason Baker (FA)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"48","Jose Cortez (FA)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
""
""
