"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tom Brady (FA)","398","578","68.9","4,806","8.3","50","8","21","37","98","2","0","16","398.0","24.9","2.7%"
"2","Tony Romo (FA)","335","520","64.4","4,211","8.1","36","19","24","31","129","2","0","16","299.6","18.7","0.1%"
"3","Peyton Manning (FA)","337","515","65.4","4,040","7.8","31","14","21","20","-5","3","0","16","275.0","17.2","0.0%"
"4","Drew Brees (FA)","440","652","67.5","4,423","6.8","28","18","16","23","52","1","0","16","267.2","16.7","35.7%"
"5","Ben Roethlisberger (FA)","264","404","65.3","3,154","7.8","32","11","47","35","204","2","0","15","264.6","17.6","13.6%"
"6","Derek Anderson (FA)","298","527","56.5","3,787","7.2","29","19","14","32","70","3","0","16","256.6","16.0","0.0%"
"7","Matt Hasselbeck (FA)","352","562","62.6","3,966","7.1","28","12","33","39","89","0","1","16","253.6","15.9","0.0%"
"8","Carson Palmer (FA)","373","575","64.9","4,131","7.2","26","20","17","24","10","0","0","16","230.2","14.4","5.6%"
"9","Jay Cutler (FA)","297","467","63.6","3,497","7.5","20","14","27","44","205","1","0","16","218.6","13.7","0.2%"
"10","Eli Manning (FA)","297","529","56.1","3,336","6.3","23","20","27","29","69","1","0","16","198.2","12.4","2.3%"
"11","Philip Rivers (FA)","277","460","60.2","3,152","6.9","21","15","22","29","33","1","1","16","187.5","11.7","20.6%"
"12","Jason Campbell (FA)","250","417","60.0","2,700","6.5","12","11","21","36","185","1","0","13","162.5","12.5","0.0%"
"13","Tarvaris Jackson (FA)","171","294","58.2","1,911","6.5","9","12","19","54","260","3","0","12","132.4","11.0","0.0%"
"14","Brett Favre (FA)","205","308","66.6","2,406","7.8","13","8","13","16","-3","0","0","8","131.9","16.5","0.0%"
"15","Jeff Garcia (FA)","170","258","65.9","1,967","7.6","9","3","13","30","111","1","0","9","125.6","14.0","0.0%"
"16","Donovan McNabb (FA)","172","287","59.9","2,044","7.1","9","4","28","21","70","0","0","8","116.7","14.6","0.0%"
"17","Jon Kitna (FA)","170","253","67.2","2,000","7.9","10","6","33","18","46","0","0","8","114.5","14.3","0.0%"
"18","Matt Schaub (FA)","192","289","66.4","2,241","7.8","9","9","16","17","52","0","0","11","112.9","10.3","0.0%"
"19","Chad Pennington (FA)","128","190","67.4","1,317","6.9","9","7","15","17","23","1","0","7","85.0","12.1","0.0%"
"20","David Garrard (FA)","98","148","66.2","1,141","7.7","6","0","16","30","134","0","0","6","83.1","13.9","0.0%"
"21","Trent Edwards (FA)","151","269","56.1","1,630","6.1","7","8","12","14","49","0","0","10","82.1","8.2","0.0%"
"22","Damon Huard (FA)","157","247","63.6","1,683","6.8","8","9","23","9","-1","0","0","8","81.2","10.2","0.0%"
"23","Josh McCown (FA)","111","190","58.4","1,151","6.1","10","11","14","29","143","0","0","9","80.2","8.9","0.0%"
"24","Kellen Clemens (FA)","130","250","52.0","1,529","6.1","5","10","27","27","111","1","0","10","78.2","7.8","0.0%"
"25","Brian Griese (FA)","124","203","61.1","1,411","7.0","9","10","12","8","16","0","0","5","74.0","14.8","0.0%"
"26","Joey Harrington (FA)","149","238","62.6","1,545","6.5","4","5","24","11","28","0","0","8","70.6","8.8","0.0%"
"27","Luke McCown (FA)","94","139","67.6","1,009","7.3","5","3","15","12","117","0","0","5","66.0","13.2","0.0%"
"28","Daunte Culpepper (FA)","70","125","56.0","817","6.5","4","4","14","15","36","3","0","5","62.3","12.5","0.0%"
"29","Rex Grossman (FA)","122","225","54.2","1,411","6.3","4","7","25","14","27","0","0","8","61.1","7.6","0.0%"
"30","Kurt Warner (FA)","82","142","57.7","1,055","7.4","6","5","4","5","0","1","1","6","60.2","10.0","0.0%"
"31","Cleo Lemon (FA)","80","137","58.4","792","5.8","3","4","9","12","53","3","0","4","58.9","14.7","0.0%"
"32","Vince Young (FA)","93","151","61.6","855","5.7","3","8","10","47","165","2","0","7","58.8","8.4","0.0%"
"33","Jake Delhomme (FA)","55","86","64.0","624","7.3","8","1","5","6","26","0","0","3","57.6","19.2","0.0%"
"34","Sage Rosenfels (FA)","61","93","65.6","729","7.8","7","6","1","10","26","0","0","4","49.7","12.4","0.0%"
"35","Marc Bulger (FA)","119","209","56.9","1,300","6.2","3","8","18","4","16","0","0","6","49.6","8.3","0.0%"
"36","Trent Green (FA)","85","141","60.3","987","7.0","5","7","7","7","32","0","0","5","48.7","9.7","0.0%"
"37","Shaun Hill (FA)","54","79","68.4","501","6.3","5","1","6","12","14","1","0","3","45.4","15.1","0.0%"
"38","Steve McNair (FA)","116","179","64.8","985","5.5","2","3","9","9","26","0","0","5","44.0","8.8","0.0%"
"39","Alex Smith (FA)","94","193","48.7","914","4.7","2","4","17","13","89","0","2","7","41.5","5.9","5.0%"
"40","J.P. Losman (FA)","57","86","66.3","663","7.7","2","2","7","10","72","0","0","5","37.8","7.6","0.0%"
"41","Kyle Boller (FA)","75","126","59.5","683","5.4","3","2","6","7","22","0","0","6","37.5","6.3","0.0%"
"42","David Carr (FA)","73","136","53.7","635","4.7","3","5","13","17","59","0","0","6","33.3","5.6","0.0%"
"43","Matt Moore (FA)","63","111","56.8","730","6.6","3","5","6","3","5","0","0","9","31.6","3.5","0.0%"
"44","Matt Leinart (FA)","60","112","53.6","647","5.8","2","4","4","11","42","0","0","5","30.1","6.0","0.0%"
"45","Kyle Orton (FA)","43","80","53.8","478","6.0","3","2","2","5","-1","0","0","3","27.1","9.0","0.0%"
"46","Kelly Holcomb (FA)","42","83","50.6","515","6.2","2","1","12","0","0","0","0","3","26.6","8.9","0.0%"
"47","Quinn Gray (FA)","36","73","49.3","510","7.0","3","5","6","9","13","0","0","4","23.7","5.9","0.0%"
"48","Trent Dilfer (FA)","47","90","52.2","463","5.1","3","5","14","4","15","0","0","3","22.0","7.3","0.0%"
"49","Seneca Wallace (FA)","19","28","67.9","215","7.7","2","1","3","4","17","0","1","10","20.9","2.1","0.0%"
"50","Gus Frerotte (FA)","47","88","53.4","511","5.8","3","8","7","2","3","0","0","4","18.8","4.7","0.0%"
"51","Marques Hagans (FA)","0","0","0","0","0","0","0","0","2","-4","0","0","3","17.7","5.9","0.0%"
"52","Kerry Collins (FA)","39","66","59.1","427","6.5","0","0","4","0","0","0","0","4","17.1","4.3","0.0%"
"53","Aaron Rodgers (NYJ)","20","28","71.4","218","7.8","1","0","3","7","29","0","0","2","15.6","7.8","49.2%"
"54","Vinny Testaverde (FA)","32","53","60.4","288","5.4","1","1","2","2","5","0","0","2","14.0","7.0","0.0%"
"55","Brooks Bollinger (FA)","17","24","70.8","215","9.0","1","0","4","4","14","0","0","3","14.0","4.7","0.0%"
"56","Patrick Ramsey (FA)","29","46","63.0","262","5.7","1","1","3","1","4","0","0","1","12.9","12.9","0.0%"
"57","Taylor Jacobs (FA)","0","0","0","0","0","0","0","0","1","-8","0","0","4","12.2","3.1","0.0%"
"58","Byron Leftwich (FA)","17","31","54.8","173","5.6","1","1","2","6","7","0","0","2","9.6","4.8","0.0%"
"59","Brodie Croyle (FA)","10","17","58.8","138","8.1","1","0","2","0","0","0","0","2","9.5","4.8","0.0%"
"60","Matt Cassel (FA)","4","7","57.1","38","5.4","0","1","0","4","12","1","0","6","6.7","1.1","0.0%"
"61","Bruce Gradkowski (FA)","13","24","54.2","130","5.4","0","1","2","7","20","0","0","4","5.2","1.3","0.0%"
"62","Tim Rattay (FA)","13","25","52.0","160","6.4","1","3","0","2","5","0","0","2","4.9","2.5","0.0%"
"63","J.T. O'Sullivan (FA)","13","24","54.2","148","6.2","1","2","3","3","-10","0","0","2","4.9","2.5","0.0%"
