Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Adrian Peterson (MIN),238,"1,341",5.6,73,0,12,19,3,268,14.1,1,1,14,255.9,18.3,2.40%
2,Frank Gore (FA),260,"1,102",4.2,43,0,5,53,2,436,8.2,1,0,15,242.8,16.2,12.10%
3,Willis McGahee (FA),294,"1,207",4.1,46,0,7,43,2,231,5.4,1,0,15,234.8,15.7,0.00%
4,Maurice Jones-Drew (FA),167,768,4.6,57,0,9,40,0,407,10.2,0,0,15,211.5,14.1,0.00%
5,Reggie Bush (FA),157,581,3.7,22,0,4,73,13,417,5.7,2,0,12,210.8,17.6,0.00%
6,Steven Jackson (FA),237,"1,002",4.2,54,0,5,38,4,271,7.1,1,0,12,205.4,17.1,0.00%
7,Marshawn Lynch (FA),280,"1,115",4,56,0,7,18,2,184,10.2,0,0,13,194.2,14.9,0.30%
8,Brian Westbrook (FA),126,601,4.8,27,0,4,49,5,435,8.9,2,0,7,188.6,26.9,0.00%
9,Ryan Grant (FA),188,956,5.1,66,0,8,30,3,145,4.8,0,1,15,186.1,12.4,0.00%
10,LaDainian Tomlinson (FA),155,657,4.2,41,0,7,32,11,248,7.8,1,0,8,175.2,21.9,0.00%
11,Brandon Jacobs (FA),202,"1,009",5,43,0,4,23,4,174,7.6,2,2,11,173.3,15.8,0.00%
12,Ronnie Brown (FA),119,602,5.1,60,0,4,39,0,389,10,1,0,7,170.1,24.3,0.00%
13,Joseph Addai (FA),149,704,4.7,23,0,7,22,0,205,9.3,2,0,7,166.9,23.8,0.00%
14,DeAngelo Williams (FA),144,717,5,75,0,4,23,6,175,7.6,1,0,16,142.2,8.9,0.10%
15,Marion Barber (FA),100,535,5.4,54,0,6,21,0,183,8.7,1,0,8,134.8,16.9,0.00%
16,Clinton Portis (FA),151,629,4.2,32,0,6,19,0,156,8.2,0,0,8,133.5,16.7,0.00%
17,Larry Johnson (FA),158,559,3.5,54,0,3,30,0,186,6.2,1,0,8,128.5,16.1,0.00%
18,Cedric Benson (FA),196,674,3.4,43,0,4,17,0,123,7.2,0,0,11,120.7,11,0.00%
19,Earnest Graham (FA),116,454,3.9,28,0,4,26,0,176,6.8,0,0,9,113,12.6,0.00%
20,Willie Parker (FA),187,768,4.1,32,0,2,13,0,102,7.8,0,0,8,112,14,0.00%
21,Leon Washington (FA),71,353,5,49,0,3,36,3,213,5.9,0,1,16,112,7,0.00%
22,LaMont Jordan (FA),129,521,4,33,0,2,24,0,230,9.6,0,0,8,111.1,13.9,0.00%
23,LenDale White (FA),170,613,3.6,28,0,5,11,0,57,5.2,0,0,8,108,13.5,0.00%
24,Edgerrin James (FA),164,618,3.8,27,0,5,7,2,68,9.7,0,0,8,105.6,13.2,0.00%
25,Kenny Watson (FA),89,412,4.6,19,0,4,22,0,167,7.6,0,0,7,103.9,14.8,0.00%
26,Jamal Lewis (FA),114,480,4.2,66,0,6,8,0,100,12.5,0,0,7,102,14.6,0.00%
27,Derrick Ward (FA),101,448,4.4,44,0,2,24,0,150,6.3,1,0,7,101.8,14.5,0.00%
28,DeShaun Foster (FA),133,529,4,20,0,2,15,8,83,5.5,1,1,8,92.2,11.5,0.00%
29,Thomas Jones (FA),160,606,3.8,36,0,0,17,5,122,7.2,0,0,9,89.8,10,0.00%
30,Kevin Jones (FA),79,343,4.3,34,0,4,14,0,88,6.3,0,0,6,81.1,13.5,0.00%
31,Shaun Alexander (FA),149,492,3.3,22,0,2,12,0,56,4.7,0,0,8,78.8,9.9,0.00%
32,Brian Leonard (FA),86,303,3.5,31,0,0,30,1,183,6.1,0,0,16,78.6,4.9,0.00%
33,Travis Henry (FA),128,580,4.5,33,0,1,7,0,65,9.3,0,0,7,77.5,11.1,0.00%
34,Warrick Dunn (FA),122,392,3.2,21,0,2,18,5,78,4.3,0,0,8,77,9.6,0.00%
35,Fred Jackson (FA),58,300,5.2,27,0,0,22,5,190,8.6,0,0,8,71,8.9,0.00%
36,Kevin Faulk (FA),40,185,4.6,14,0,0,25,0,210,8.4,1,0,9,70.5,7.8,0.00%
37,Pierre Thomas (FA),52,252,4.8,24,0,1,17,5,151,8.9,1,0,12,69.3,5.8,0.00%
38,Justin Fargas (FA),81,437,5.4,48,0,1,10,0,93,9.3,0,0,8,69,8.6,0.00%
39,Jerious Norwood (FA),53,311,5.9,67,0,1,17,2,143,8.4,0,0,8,68.4,8.6,0.00%
40,Kenton Keith (FA),76,350,4.6,22,0,3,9,0,55,6.1,0,0,8,67.5,8.4,0.00%
41,Sammy Morris (FA),85,384,4.5,49,0,3,6,0,35,5.8,0,0,6,65.9,11,0.00%
42,Ahman Green (FA),70,260,3.7,18,0,2,14,0,123,8.8,0,0,6,64.3,10.7,0.00%
43,Brandon Jackson (FA),75,267,3.6,46,0,1,16,0,130,8.1,0,0,11,61.7,5.6,0.00%
44,DeShawn Wynn (FA),50,203,4.1,44,0,4,9,0,73,8.1,0,0,7,60.6,8.7,0.00%
45,Najeh Davenport (FA),49,272,5.6,45,0,3,7,0,66,9.4,0,0,8,58.8,7.4,0.00%
46,Greg Jones (FA),42,119,2.8,11,0,2,11,0,99,9,2,0,16,56.8,3.6,0.00%
47,Ron Dayne (FA),100,348,3.5,39,0,2,6,2,35,5.8,0,0,7,56.3,8,0.00%
48,Adrian Peterson (CHI),28,127,4.5,11,0,0,24,0,193,8,0,0,8,56,7,0.00%
49,Selvin Young (FA),42,222,5.3,40,0,0,18,0,157,8.7,0,0,8,55.9,7,0.00%
50,Fred Taylor (FA),109,474,4.3,76,0,0,5,0,20,4,0,0,8,54.4,6.8,0.00%
51,Vonta Leach (FA),2,2,1,1,0,1,25,9,108,4.3,2,0,16,54,3.4,0.00%
52,Jesse Chatman (FA),36,196,5.4,30,0,1,14,0,93,6.6,0,0,7,48.9,7,0.00%
