Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Reggie Wayne (FA),104,0,"1,510",14.5,64,0,10,1,4,0,0,16,315.4,19.7,0.00%
2,Braylon Edwards (FA),80,20,"1,289",16.1,78,0,16,0,0,0,1,16,302.9,18.9,0.00%
3,Larry Fitzgerald (FA),100,8,"1,409",14.1,48,0,10,0,0,0,1,15,298.9,19.9,0.20%
4,Marques Colston (FA),98,21,"1,202",12.3,45,0,11,0,0,0,0,16,284.2,17.8,0.00%
5,Brandon Marshall (FA),102,0,"1,325",13,68,0,7,5,57,0,0,16,282.2,17.6,2.60%
6,Wes Welker (FA),112,0,"1,175",10.5,42,0,8,4,34,0,0,16,280.9,17.6,0.00%
7,Plaxico Burress (FA),70,11,"1,025",14.6,60,0,12,0,0,0,0,16,244.5,15.3,0.00%
8,Roddy White (FA),83,14,"1,202",14.5,69,0,6,1,-2,0,0,16,239,14.9,0.00%
9,Steve Smith (CAR),87,42,"1,002",11.5,74,0,7,9,66,0,0,15,235.8,15.7,0.00%
10,Randy Moss (FA),56,0,924,16.5,55,0,12,0,0,0,0,9,220.4,24.5,0.00%
11,Greg Jennings (FA),53,6,920,17.4,82,0,12,0,0,0,0,13,217,16.7,0.00%
12,Anquan Boldin (FA),71,0,853,12,44,0,9,1,14,0,0,12,211.7,17.6,0.10%
13,Jerricho Cotchery (FA),82,8,"1,130",13.8,50,0,2,5,38,0,0,15,210.8,14.1,0.00%
14,Dwayne Bowe (FA),70,11,995,14.2,58,0,5,0,0,0,0,16,199.5,12.5,0.00%
15,Donald Driver (FA),82,9,"1,048",12.8,47,0,2,2,4,0,0,15,199.2,13.3,0.00%
16,Santonio Holmes (FA),52,0,942,18.1,83,0,8,5,17,0,0,13,195.9,15.1,0.00%
17,Andre Johnson (FA),60,10,851,14.2,77,0,8,0,0,0,0,9,193.1,21.5,0.00%
18,T.J. Houshmandzadeh (FA),62,0,674,10.9,42,0,10,3,10,0,0,8,190.4,23.8,0.00%
19,Nate Burleson (FA),50,16,694,13.9,45,0,9,2,4,0,0,16,173.8,10.9,0.00%
20,Kevin Walter (FA),65,15,800,12.3,46,0,4,5,30,0,0,16,172,10.8,0.00%
21,Santana Moss (FA),61,0,808,13.2,49,0,3,3,13,0,0,14,161.1,11.5,0.00%
22,Calvin Johnson (FA),48,0,756,15.8,49,0,4,4,52,1,0,15,158.8,10.6,0.10%
23,Terrell Owens (FA),44,0,730,16.6,47,0,6,1,5,0,0,8,153.5,19.2,0.00%
24,Chad Johnson (FA),47,0,779,16.6,56,0,3,3,18,0,0,8,144.7,18.1,0.00%
25,Donte' Stallworth (FA),46,0,697,15.2,69,0,3,1,12,0,0,16,134.9,8.4,0.00%
26,Brandon Stokley (FA),40,0,635,15.9,58,0,5,1,-6,0,0,13,132.9,10.2,0.00%
27,Joey Galloway (FA),38,5,648,17.1,69,0,5,1,1,0,0,9,132.9,14.8,0.00%
28,Derrick Mason (FA),62,0,564,9.1,28,0,2,0,0,0,0,8,130.4,16.3,0.00%
29,Michael Jenkins (FA),53,4,532,10,29,0,4,0,0,0,0,15,130.2,8.7,0.00%
30,Torry Holt (FA),46,0,576,12.5,39,0,4,0,0,0,0,8,129.6,16.2,0.00%
31,Bobby Engram (FA),48,0,607,12.6,49,0,3,0,0,0,0,8,126.7,15.8,0.00%
32,James Jones (FA),47,4,676,14.4,79,0,2,0,0,0,0,16,126.6,7.9,0.00%
33,Laveranues Coles (FA),42,3,473,11.3,57,0,6,0,0,0,0,8,125.3,15.7,0.00%
