"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","San Francisco 49ers (SF)","42","23","15","18","1","1","2","16","171.0","10.7","98.1%"
"2","Detroit Lions (DET)","41","21","13","17","7","1","0","16","163.0","10.2","43.3%"
"3","Chicago Bears (CHI)","33","20","11","13","7","1","3","16","160.0","10.0","31.5%"
"4","Baltimore Ravens (BAL)","48","15","11","21","4","0","1","16","158.0","9.9","87.4%"
"5","Seattle Seahawks (SEA)","33","22","9","10","4","1","1","16","156.0","9.8","26.2%"
"6","Philadelphia Eagles (PHI)","50","15","9","9","4","1","0","16","145.0","9.1","50.9%"
"7","New York Jets (NYJ)","35","19","12","15","3","3","2","16","144.0","9.0","82.8%"
"8","Green Bay Packers (GB)","29","31","7","12","5","0","2","16","138.0","8.6","26.0%"
"9","New England Patriots (NE)","40","23","11","10","3","0","1","16","136.0","8.5","13.3%"
"10","Houston Texans (HOU)","44","17","10","10","2","0","1","16","135.0","8.4","30.1%"
"11","Buffalo Bills (BUF)","29","20","11","13","6","1","1","16","130.0","8.1","62.7%"
"12","Cincinnati Bengals (CIN)","45","10","12","16","3","1","1","16","125.0","7.8","49.0%"
"13","Jacksonville Jaguars (JAC)","31","17","11","16","3","0","1","16","124.0","7.8","47.6%"
"14","Pittsburgh Steelers (PIT)","35","11","4","6","1","2","1","16","122.0","7.6","76.5%"
"15","Atlanta Falcons (ATL)","33","19","10","12","3","0","0","16","121.0","7.6","16.6%"
"16","New York Giants (NYG)","48","20","11","10","1","2","0","16","121.0","7.6","3.0%"
"17","Kansas City Chiefs (KC)","29","20","6","12","2","0","0","16","113.0","7.1","77.1%"
"18","Dallas Cowboys (DAL)","42","15","9","12","1","0","0","16","113.0","7.1","93.1%"
"19","Miami Dolphins (MIA)","41","16","3","6","1","0","0","16","111.0","6.9","69.2%"
"20","Tennessee Titans (TEN)","28","11","12","14","1","0","2","16","107.0","6.7","3.5%"
"21","Denver Broncos (DEN)","41","9","9","10","3","0","2","16","105.0","6.6","34.5%"
"22","Arizona Cardinals (ARI)","42","10","9","11","0","0","4","16","101.0","6.3","0.8%"
"23","Washington Commanders (WAS)","41","13","8","17","1","0","0","16","99.0","6.2","8.1%"
"24","New Orleans Saints (NO)","33","9","7","14","3","0","1","16","98.0","6.1","63.8%"
"25","Cleveland Browns (CLE)","32","9","11","15","0","0","1","16","96.0","6.0","94.2%"
"26","Las Vegas Raiders (LV)","39","18","8","6","1","1","1","16","94.0","5.9","22.3%"
"27","Minnesota Vikings (MIN)","50","8","15","18","0","1","1","16","93.0","5.8","11.5%"
"28","Los Angeles Chargers (LAC)","32","17","4","7","2","0","1","16","93.0","5.8","16.1%"
"29","Los Angeles Rams (LAR)","39","12","6","13","1","2","1","16","91.0","5.7","21.1%"
"30","Indianapolis Colts (IND)","29","8","9","14","3","0","0","16","82.0","5.1","24.8%"
"31","Carolina Panthers (CAR)","31","14","10","10","0","2","1","16","80.0","5.0","2.9%"
"32","Tampa Bay Buccaneers (TB)","23","14","10","13","4","1","0","16","79.0","4.9","20.7%"
""
""
