Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Rob Gronkowski (FA),82,131,"1,124",13.7,46,14,12,0,0,0,0,15,266.4,17.8,1.50%
2,Jimmy Graham (FA),85,124,889,10.5,29,8,10,0,0,0,2,16,229.9,14.4,0.00%
3,Antonio Gates (FA),69,98,821,11.9,34,10,12,0,0,0,0,16,223.1,13.9,0.20%
4,Martellus Bennett (FA),90,128,916,10.2,37,9,6,0,0,0,0,16,221.6,13.9,23.00%
5,Greg Olsen (FA),84,123,"1,008",12,38,6,6,0,0,0,0,16,220.8,13.8,7.00%
6,Travis Kelce (KC),67,87,862,12.9,34,13,5,0,0,0,3,16,177.2,11.1,99.90%
7,Coby Fleener (FA),51,92,774,15.2,73,11,8,0,0,0,0,16,176.4,11,0.00%
8,Delanie Walker (FA),63,106,890,14.1,68,7,4,0,0,0,0,15,176,11.7,0.10%
9,Jason Witten (FA),64,90,703,11,34,6,5,0,0,0,0,16,164.3,10.3,0.00%
10,Julius Thomas (FA),43,62,489,11.4,35,3,12,0,0,0,0,13,163.9,12.6,0.00%
11,Heath Miller (FA),66,91,761,11.5,49,6,3,0,0,0,1,16,160.1,10,0.00%
12,Larry Donnell (FA),63,92,623,9.9,32,3,6,0,0,0,4,16,153.3,9.6,0.00%
13,Zach Ertz (WAS),58,89,702,12.1,35,8,3,0,0,0,1,16,144.2,9,3.40%
14,Jermaine Gresham (FA),62,79,460,7.4,23,2,5,0,0,0,0,15,138,9.2,0.00%
15,Charles Clay (FA),58,84,605,10.4,41,7,3,0,0,0,0,14,136.5,9.8,0.00%
16,Jared Cook (FA),52,99,634,12.2,59,4,3,1,0,0,0,16,133.4,8.3,0.00%
17,Mychal Rivera (FA),58,99,534,9.2,33,5,4,0,0,0,1,16,133.4,8.3,0.20%
18,Owen Daniels (FA),48,79,527,11,39,3,4,0,0,0,0,15,124.7,8.3,0.00%
19,Dwayne Allen (FA),29,50,395,13.6,41,3,8,0,0,0,0,13,116.5,9,0.00%
20,Scott Chandler (FA),47,70,497,10.6,37,8,3,0,0,0,0,16,114.7,7.2,0.00%
21,Jordan Reed (FA),50,65,465,9.3,30,3,0,0,0,0,1,11,94.5,8.6,19.00%
22,Niles Paul (FA),39,52,507,13,50,4,1,0,0,0,1,16,93.7,5.9,0.00%
23,Tim Wright (FA),26,33,259,10,30,2,6,1,-2,0,0,16,87.7,5.5,0.00%
24,Jace Amaro (FA),38,53,345,9.1,43,3,2,0,0,0,0,14,84.5,6,0.20%
25,Lance Kendricks (FA),27,38,259,9.6,23,3,5,0,0,0,0,16,82.9,5.2,0.00%
26,Andrew Quarless (FA),29,46,323,11.1,34,1,3,0,0,0,0,16,79.3,5,0.00%
27,Jordan Cameron (FA),24,48,424,17.7,81,3,2,0,0,0,0,10,78.4,7.8,0.10%
28,Luke Willson (FA),22,40,362,16.5,80,5,3,0,0,0,0,15,76.2,5.1,0.00%
29,John Carlson (FA),33,55,350,10.6,32,3,1,0,0,0,0,16,76,4.8,0.00%
30,Anthony Fasano (FA),25,36,226,9,22,2,4,0,0,0,0,15,71.6,4.8,0.10%
31,Brent Celek (FA),32,51,340,10.6,37,5,1,0,0,0,1,16,70,4.4,0.00%
32,Jeff Cumberland (FA),23,47,247,10.7,28,4,3,0,0,0,0,16,65.7,4.1,0.00%
33,Levine Toilolo (FA),31,53,238,7.7,20,1,2,0,0,0,1,16,64.8,4.1,0.00%
34,Dion Sims (FA),24,36,284,11.8,38,2,2,0,0,0,0,14,64.4,4.6,0.00%
35,Vernon Davis (FA),26,50,245,9.4,29,2,2,1,4,0,0,14,62.9,4.5,1.60%
36,Josh Hill (FA),14,20,176,12.6,37,0,5,0,0,0,0,16,61.6,3.9,0.00%
37,Clay Harbor (FA),26,35,289,11.1,59,3,1,0,0,0,0,13,60.9,4.7,0.00%
38,Kyle Rudolph (FA),24,34,231,9.6,23,2,2,0,0,0,0,9,59.1,6.6,0.00%
39,Daniel Fells (FA),16,20,188,11.8,27,3,4,0,0,0,1,16,56.8,3.6,0.00%
40,Eric Ebron (FA),25,47,248,9.9,22,1,1,0,0,0,0,13,55.8,4.3,0.00%
41,Chase Ford (FA),23,35,258,11.2,22,3,1,0,0,0,0,11,54.8,5,0.00%
42,Richard Rodgers (FA),20,30,225,11.3,43,1,2,0,0,0,0,16,54.5,3.4,0.00%
43,Austin Seferian-Jenkins (FA),21,38,221,10.5,30,2,2,0,0,0,1,9,53.1,5.9,0.00%
44,Marcedes Lewis (CHI),18,31,206,11.4,63,1,2,0,0,0,0,8,50.6,6.3,0.10%
45,Bruce Miller (FA),18,25,189,10.5,22,2,2,6,9,0,1,16,47.8,3,0.00%
46,Rhett Ellison (FA),19,26,208,10.9,40,2,1,0,0,0,0,16,47.8,3,0.00%
47,Jim Dray (FA),17,27,242,14.2,31,3,1,0,0,0,0,16,47.2,3,0.00%
48,Benjamin Watson (FA),20,31,136,6.8,15,0,2,0,0,0,0,16,45.6,2.9,2.80%
49,Garrett Graham (FA),18,28,197,10.9,26,2,1,0,0,0,0,11,43.7,4,0.00%
50,Gavin Escobar (FA),9,13,105,11.7,26,2,4,0,0,0,0,16,43.5,2.7,0.00%
51,Cooper Helfet (FA),12,24,185,15.4,36,3,2,0,0,0,0,10,42.5,4.3,0.00%
52,Jack Doyle (FA),18,22,118,6.6,20,1,2,0,0,0,0,16,41.8,2.6,2.00%
53,Ladarius Green (FA),19,25,226,11.9,28,5,0,0,0,0,0,14,41.6,3,0.00%
54,Brandon Myers (FA),22,32,190,8.6,26,3,0,0,0,0,0,14,41,2.9,0.00%
55,Jacob Tamme (FA),14,28,109,7.8,26,1,2,0,0,0,1,15,34.9,2.3,0.00%
56,Gary Barnidge (FA),13,25,156,12,28,1,0,0,0,0,0,13,28.6,2.2,0.10%
57,Dennis Pitta (FA),16,21,125,7.8,24,2,0,0,0,0,0,3,28.5,9.5,0.00%
58,Crockett Gillmore (FA),10,15,121,12.1,22,2,1,0,0,0,0,15,28.1,1.9,0.00%
59,Dante Rosario (FA),16,22,116,7.3,22,1,0,0,0,0,1,16,27.6,1.7,0.00%
60,Ed Dickson (FA),10,17,115,11.5,34,0,1,0,0,0,0,16,27.5,1.7,0.00%
61,Tony Moeaki (FA),8,13,134,16.8,63,1,1,0,0,0,0,6,27.4,4.6,0.00%
62,Ryan Griffin (FA),10,16,91,9.1,25,1,1,0,0,0,0,16,25.1,1.6,0.00%
63,Logan Paulsen (FA),13,16,78,6,16,0,1,0,0,0,1,16,24.8,1.6,0.00%
64,MarQueis Gray (FA),9,11,134,14.9,41,0,0,0,0,0,0,13,22.4,1.7,0.00%
65,Rob Housler (FA),9,17,129,14.3,27,3,0,1,1,0,0,15,22,1.5,0.00%
66,Cory Harkey (FA),8,11,55,6.9,21,1,1,0,0,0,0,16,21.5,1.3,0.20%
67,Joseph Fauria (FA),6,12,74,12.3,26,2,1,0,0,0,0,7,21.4,3.1,0.00%
68,James Casey (FA),3,3,59,19.7,26,1,2,0,0,0,0,16,20.9,1.3,0.00%
69,Derek Carrier (FA),9,14,105,11.7,23,2,0,1,2,0,0,11,19.7,1.8,0.00%
70,Virgil Green (FA),6,6,74,12.3,38,0,1,2,3,0,0,13,19.7,1.5,0.00%
71,Chase Coffman (FA),6,14,64,10.7,18,0,1,0,0,0,0,13,18.4,1.4,0.00%
72,Chris Gragg (FA),7,10,48,6.9,14,0,1,0,0,0,0,10,17.8,1.8,0.00%
73,Lee Smith (FA),7,8,42,6,18,0,1,0,0,0,0,14,17.2,1.2,0.00%
74,Brandon Pettigrew (FA),10,15,70,7,13,0,0,0,0,0,0,14,17,1.2,0.00%
75,Adrien Robinson (FA),5,7,50,10,29,1,1,0,0,0,0,16,16,1,0.00%
76,Matt Spaeth (FA),3,4,46,15.3,33,0,1,0,0,0,0,15,15.6,1,0.00%
77,Brian Leonhardt (FA),6,8,35,5.8,12,0,1,0,0,0,0,12,15.5,1.3,0.00%
78,Zach Miller (SEA),6,7,76,12.7,24,2,0,0,0,0,0,3,13.6,4.5,0.00%
79,Zach Sudfeld (FA),5,7,85,17,38,1,0,0,0,0,0,16,13.5,0.8,0.00%
80,C.J. Fiedorowicz (FA),4,7,28,7,9,0,1,0,0,0,0,15,12.8,0.9,0.00%
81,Darren Fells (FA),5,11,71,14.2,24,1,0,0,0,0,0,10,12.1,1.2,0.00%
82,Luke Stocker (FA),7,11,41,5.9,11,0,0,0,0,0,0,13,11.1,0.9,0.00%
83,Nic Jacobs (FA),2,3,16,8,14,0,1,0,0,0,0,13,9.6,0.7,0.00%
84,James Hanna (FA),4,6,48,12,27,1,0,0,0,0,0,16,8.8,0.6,0.00%
85,Brandon Williams (FA),4,8,44,11,16,0,0,0,0,0,0,14,8.4,0.6,0.00%
86,Bear Pascoe (FA),2,2,3,1.5,2,0,1,0,0,0,0,16,8.3,0.5,0.00%
87,Brandon Bostick (FA),2,4,3,1.5,2,0,1,0,0,0,0,13,8.3,0.6,0.20%
88,Michael Hoomanawanui (FA),3,6,44,14.7,23,1,0,0,0,0,0,16,7.4,0.5,0.10%
89,Garrett Celek (FA),2,2,53,26.5,31,1,0,0,0,0,0,3,7.3,2.4,0.00%
90,Logan Thomas (SF),0,0,0,0,0,0,0,0,0,0,0,2,7.2,3.6,19.20%
91,John Phillips (FA),1,1,1,1,1,0,1,0,0,0,0,16,7.1,0.4,0.00%
92,Kevin Brock (FA),5,6,21,4.2,10,0,0,0,0,0,0,14,7.1,0.5,0.00%
93,Michael Palmer (FA),1,2,1,1,1,0,1,0,0,0,0,15,7.1,0.5,0.00%
94,Troy Niklas (FA),3,3,38,12.7,17,0,0,0,0,0,0,7,6.8,1,0.00%
95,Tyler Eifert (FA),3,3,37,12.3,20,1,0,0,0,0,0,1,6.7,6.7,0.00%
96,Phillip Supernaw (FA),3,3,30,10,29,1,0,0,0,0,0,8,6,0.8,0.00%
97,Harold Hoskins (FA),3,4,21,7,14,0,0,0,0,0,0,11,5.1,0.5,0.00%
98,Demetrius Harris (FA),3,5,20,6.7,10,0,0,0,0,0,0,8,5,0.6,0.00%
99,Craig Stevens (FA),2,2,26,13,20,1,0,0,0,0,0,5,4.6,0.9,0.00%
100,Taylor Thompson (FA),2,4,24,12,13,0,0,0,0,0,0,3,4.4,1.5,0.00%
101,David Ausberry (FA),2,4,14,7,7,0,0,0,0,0,0,6,3.4,0.6,0.00%
102,Vance McDonald (FA),2,8,30,15,21,1,0,0,0,0,1,8,3,0.4,0.00%
103,Cameron Brate (FA),1,1,17,17,17,0,0,0,0,0,0,5,2.7,0.5,2.00%
104,Marcel Jensen (FA),1,1,8,8,8,0,0,0,0,0,0,1,1.8,1.8,0.00%
105,David Johnson (FA),1,1,4,4,4,0,0,0,0,0,0,14,1.4,0.1,0.00%
106,Trey Burton (FA),0,0,0,0,0,0,0,5,10,0,0,15,1,0.1,0.00%
107,Alex Smith (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
108,Jordan Matthews (CAR),67,103,872,13,44,11,8,0,0,0,0,16,0,0,0.00%
109,Kelvin Benjamin (FA),73,145,"1,008",13.8,51,9,9,0,0,0,1,16,0,0,0.10%
110,Chris Pantale (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
111,Ryan Hewitt (FA),10,15,86,8.6,19,0,0,1,0,0,0,16,0,0,0.00%
112,Steve Maneri (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
113,Evan Rodriguez (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
114,Greg Scruggs (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.20%
115,Brett Brackett (FA),0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.00%
116,Dominique Jones (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
117,Keavon Milton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
118,Kyle Nelson (FA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%
119,Scott Simonson (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
120,Anthony Denham (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
121,Gerell Robinson (FA),0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
122,Blake Annen (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
123,Rashaun Allen (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
124,Jordan Thompson (FA),0,1,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
125,Justin Perillo (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
126,Asante Cleveland (FA),0,1,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
127,Alex Bayer (FA),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
128,Kellen Davis (FA),0,3,0,0,0,0,0,0,0,0,0,6,0,0,0.20%
129,Matthew Mulligan (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
130,Clark Harris (FA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%
131,Mickey Shuler (FA),0,3,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
132,Richard Gordon (FA),0,1,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
133,Ryan Taylor (FA),0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.00%
134,Weslye Saunders (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
135,Richie Brockel (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
136,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%
137,Zach Miller (JAC),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
138,Beau Brinkley (FA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.20%
139,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
140,Kevin McDermott (FA),0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.00%
141,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%
