"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","128","184","1,809","14.1","64","28","8","4","24","1","0","17","368.6","21.7","100.0%"
"2","Tyreek Hill (MIA)","119","170","1,710","14.4","64","25","7","7","32","1","0","17","341.2","20.1","100.0%"
"3","Davante Adams (LV)","100","180","1,516","15.2","60","24","14","3","-1","0","0","17","335.5","19.7","99.9%"
"4","Stefon Diggs (HOU)","110","156","1,455","13.2","53","17","11","1","-3","0","0","17","321.2","18.9","99.7%"
"5","CeeDee Lamb (DAL)","107","156","1,359","12.7","39","24","9","10","47","0","0","17","301.6","17.7","100.0%"
"6","A.J. Brown (PHI)","88","145","1,496","17.0","78","23","11","0","0","0","2","17","299.6","17.6","99.9%"
"7","Amon-Ra St. Brown (DET)","106","146","1,161","11.0","49","11","6","9","95","0","0","16","267.6","16.7","100.0%"
"8","Jaylen Waddle (MIA)","75","117","1,356","18.1","84","21","8","3","26","0","1","17","259.2","15.2","96.3%"
"9","DeVonta Smith (PHI)","95","136","1,196","12.6","45","18","7","0","0","0","1","17","254.6","15.0","98.0%"
"10","Amari Cooper (CLE)","78","132","1,160","14.9","55","18","9","0","0","0","0","17","247.0","14.5","91.6%"
"11","Ja'Marr Chase (CIN)","87","134","1,046","12.0","60","13","9","5","8","0","2","13","242.4","18.6","99.4%"
"12","Christian Kirk (JAC)","84","133","1,108","13.2","49","18","8","5","11","0","1","17","241.9","14.2","70.8%"
"13","Tyler Lockett (SEA)","84","117","1,033","12.3","40","14","9","0","0","0","2","16","237.3","14.8","88.5%"
"14","Terry McLaurin (WAS)","77","120","1,191","15.5","52","16","5","7","29","0","0","17","229.0","13.5","90.3%"
"15","Brandon Aiyuk (SF)","78","114","1,015","13.0","54","17","8","2","23","0","1","17","227.8","13.4","98.2%"
"16","DK Metcalf (SEA)","90","141","1,048","11.6","54","11","6","0","0","0","2","17","226.8","13.3","98.5%"
"17","Mike Evans (TB)","77","127","1,124","14.6","63","19","6","0","0","0","0","15","225.4","15.0","98.1%"
"18","Tee Higgins (CIN)","75","110","1,042","13.9","59","14","7","0","0","0","0","15","223.2","14.9","94.2%"
"19","Chris Godwin (TB)","104","142","1,023","9.8","44","10","3","3","5","0","2","15","222.8","14.9","90.3%"
"20","Michael Pittman Jr. (IND)","99","141","925","9.3","28","8","4","3","30","0","1","16","216.5","13.5","97.1%"
"21","Garrett Wilson (NYJ)","83","147","1,103","13.3","60","13","4","4","4","0","1","17","215.7","12.7","97.8%"
