"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Christian McCaffrey","SF","RB1","221.4","1,016.7","7.6","74.6","638.5","4.2","0.5","235.9"
"Austin Ekeler","LAC","RB2","193.2","876.6","9.7","77.9","617.6","4.1","1.5","229.1"
"Nick Chubb","CLE","RB3","281.4","1,414.2","9.4","28.9","241.6","1.1","1.2","226.4"
"Derrick Henry","TEN","RB4","315.0","1,388.6","9.7","32.1","274.4","0.9","1.8","226.2"
"Tony Pollard","DAL","RB5","227.8","1,138.0","8.7","46.1","388.6","2.5","0.5","218.3"
"Josh Jacobs","LV","RB6","266.1","1,241.1","10.0","39.0","291.0","0.8","1.2","216.1"
"Bijan Robinson","ATL","RB7","250.0","1,192.3","9.0","40.6","339.9","2.1","2.0","216.0"
"Saquon Barkley","NYG","RB8","256.7","1,150.8","8.1","53.3","384.7","1.8","0.7","211.1"
"Justin Jefferson","MIN","WR1","3.8","19.4","0.3","111.3","1,538.9","8.2","0.3","206.5"
"Ja'Marr Chase","CIN","WR2","5.0","24.1","0.1","105.6","1,397.1","10.3","1.1","202.1"
"Tyreek Hill","MIA","WR3","9.3","55.5","0.5","106.3","1,403.7","8.0","0.4","196.6"
"Joe Mixon","CIN","RB9","230.1","962.7","7.5","49.6","367.6","2.1","0.6","189.6"
"CeeDee Lamb","DAL","WR4","8.9","56.7","0.3","99.5","1,313.9","7.9","0.3","185.5"
"Aaron Jones","GB","RB10","201.5","1,002.1","5.7","50.0","377.6","2.7","1.3","185.2"
"Cooper Kupp","LAR","WR5","8.0","73.0","0.8","103.1","1,266.2","7.7","0.8","183.2"
"Travis Kelce","KC","TE1","0.0","2.4","0.0","105.2","1,236.1","9.9","0.6","182.2"
"Davante Adams","LV","WR6","1.8","7.7","0.1","94.2","1,276.4","8.6","0.3","179.8"
"Najee Harris","PIT","RB11","256.9","1,019.5","6.6","38.2","262.3","2.2","1.0","179.4"
"Stefon Diggs","BUF","WR7","0.6","3.4","0.0","97.1","1,282.6","8.5","0.4","178.9"
"Travis Etienne Jr.","JAC","RB12","218.7","1,083.3","6.5","36.2","293.1","0.9","2.6","176.9"
"Rhamondre Stevenson","NE","RB13","210.1","966.8","6.0","52.3","373.6","1.4","1.1","176.1"
"Kenneth Walker III","SEA","RB14","228.9","1,041.9","8.3","25.9","174.6","0.6","0.4","174.3"
"Alexander Mattison","MIN","RB15","216.0","932.4","8.1","33.6","232.0","1.6","0.9","172.5"
"A.J. Brown","PHI","WR8","0.3","4.2","0.1","78.0","1,213.3","8.5","0.6","172.0"
"Dameon Pierce","HOU","RB16","261.2","1,088.1","5.9","32.4","215.4","1.1","2.1","168.4"
"James Conner","ARI","RB17","214.3","906.9","6.8","40.8","301.5","1.2","0.8","167.2"
"Jahmyr Gibbs","DET","RB18","180.0","792.2","6.6","44.6","354.0","2.1","1.5","163.7"
"J.K. Dobbins","BAL","RB19","175.3","919.4","7.1","24.9","177.3","1.7","0.4","161.6"
"Amon-Ra St. Brown","DET","WR9","8.3","65.0","0.5","101.3","1,165.4","5.9","0.2","161.3"
"Miles Sanders","CAR","RB20","218.6","1,017.4","6.1","29.6","209.1","0.8","1.4","161.0"
"Jaylen Waddle","MIA","WR10","4.1","34.3","0.2","80.6","1,176.7","6.6","0.7","160.9"
"Breece Hall","NYJ","RB21","173.8","828.0","5.6","36.2","328.6","1.9","1.1","158.4"
