School Type,Behavior Category,August,,September,,October,,November,,December,
,,2022-23,2023-24,2022-23,2023-24,2022-23,2023-24,2022-23,2023-24,2022-23,2023-24
1. Early Childhood Center,Behaviors of a Safety Concern,0,0,0,0,0,1,0,3,0,3
,Behaviors related to School Operations,0,0,0,0,0,0,0,1,0,1
,Behaviors that Endanger Self or Others,0,0,0,1,0,1,0,1,0,3
,Relationship Behaviors,0,0,0,0,0,0,0,0,0,0
1. Early Childhood Center Total,,0,0,0,1,0,2,0,5,0,7
2. Elementary,Behaviors of a Safety Concern,2,11,186,242,235,314,256,272,179,185
,Behaviors related to School Operations,1,4,15,55,36,64,24,48,14,34
,Behaviors that Endanger Self or Others,4,3,38,39,36,77,22,49,9,28
,Behaviors that Impede the Academic Progress,2,2,20,52,32,65,43,58,21,39
,Persistently Dangerous,0,0,0,0,0,0,0,0,0,0
,Relationship Behaviors,3,8,53,103,82,131,101,95,43,74
2. Elementary Total,,12,28,310,488,418,645,442,519,262,359
3. Middle,Behaviors of a Safety Concern,4,3,157,137,196,180,195,168,138,101
,Behaviors related to School Operations,1,2,76,57,163,130,148,125,75,112
,Behaviors that Endanger Self or Others,3,0,31,31,24,34,22,35,11,23
,Behaviors that Impede the Academic Progress,1,1,67,55,127,112,129,123,111,67
,Relationship Behaviors,7,3,141,136,194,290,228,248,142,156
3. Middle Total,,16,9,461,406,683,733,714,678,469,447
4. High,Behaviors of a Safety Concern,10,11,131,131,127,137,97,89,74,53
,Behaviors related to School Operations,15,6,208,182,289,255,284,322,187,190
,Behaviors that Endanger Self or Others,5,6,35,38,31,49,37,38,22,18
,Behaviors that Impede the Academic Progress,3,8,79,124,140,219,157,191,105,127
,Relationship Behaviors,10,5,130,129,115,161,136,149,69,93
4. High Total,,42,34,579,600,698,805,701,784,448,474
